sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
S288C-unpooled_WT-100ng_2	Promoter	1	96840	0.641417954933831	373007	0.75784548369139	6718
S288C-unpooled_WT-100ng_2	Promoter	2	44798	0.830284496339542	320965	0.812218001827057	5814
S288C-unpooled_WT-100ng_2	Promoter	3	30018	0.863057416405509	291405	0.816665405537199	5276
S288C-unpooled_WT-100ng_2	Promoter	4	22484	0.868846124120875	268803	0.814273251058725	4814
S288C-unpooled_WT-100ng_2	Promoter	5	17876	0.865791640432024	250371	0.809764222646269	4421
S288C-unpooled_WT-100ng_2	Promoter	6	14744	0.861164651597453	234711	0.805017835093977	4061
S288C-unpooled_WT-100ng_2	Promoter	7	12339	0.853732789040338	220281	0.799417169898966	3749
S288C-unpooled_WT-100ng_2	Promoter	8	10511	0.846500765080132	207485	0.794048985840031	3436
S288C-unpooled_WT-100ng_2	Promoter	9	9153	0.841732573110171	196621	0.789782130175613	3169
S288C-unpooled_WT-100ng_2	Promoter	10	8005	0.835246243739566	186289	0.784883671938857	2898
S288C-unpooled_WT-100ng_2	Promoter	11	7108	0.828341685118285	177319	0.780055077513241	2670
S288C-unpooled_WT-100ng_2	Promoter	12	6361	0.822791359461907	169102	0.775818246882541	2471
S288C-unpooled_WT-100ng_2	Promoter	13	5725	0.817156722809021	161470	0.771601693538367	2300
S288C-unpooled_WT-100ng_2	Promoter	14	5154	0.809868007542426	154047	0.766708142544296	2119
S288C-unpooled_WT-100ng_2	Promoter	15	4666	0.803098106712565	147215	0.762124412416392	1964
S288C-unpooled_WT-100ng_2	Promoter	16	4255	0.79622005988024	141050	0.757624587751243	1819
S288C-unpooled_WT-100ng_2	Promoter	17	3891	0.791658189216684	135226	0.754146450281635	1716
S288C-unpooled_WT-100ng_2	Promoter	18	3581	0.78686003076247	129956	0.750661383301949	1618
S288C-unpooled_WT-100ng_2	Promoter	19	3303	0.779745042492918	124952	0.746195924802331	1519
S288C-unpooled_WT-100ng_2	Promoter	20	3068	0.775530839231547	120487	0.743141390965386	1430
S288C-unpooled_WT-100ng_2	Promoter	21	2862	0.773304512293975	116367	0.741040042793826	1351
S288C-unpooled_WT-100ng_2	Promoter	22	2664	0.767502160760588	112209	0.737237355619506	1261
S288C-unpooled_WT-100ng_2	Promoter	23	2467	0.76189005558987	107875	0.733464331366096	1186
S288C-unpooled_WT-100ng_2	Promoter	24	2295	0.757425742574257	103919	0.730322154442976	1119
S288C-unpooled_WT-100ng_2	Promoter	25	2149	0.753506311360449	100415	0.727539487030865	1061
S288C-unpooled_WT-100ng_2	Promoter	26	2013	0.750559284116331	97015	0.725237347686327	1002
S288C-unpooled_WT-100ng_2	Promoter	27	1885	0.745353894820087	93687	0.721824149408284	946
S288C-unpooled_WT-100ng_2	Promoter	28	1762	0.740647330811265	90366	0.718662022236007	893
S288C-unpooled_WT-100ng_2	Promoter	29	1663	0.737145390070922	87594	0.716234116665849	848
S288C-unpooled_WT-100ng_2	Promoter	30	1575	0.733240223463687	85042	0.71364315324841	815
S288C-unpooled_WT-100ng_2	Promoter	31	1489	0.729187071498531	82462	0.710965116479575	776
S288C-unpooled_WT-100ng_2	Promoter	32	1403	0.725439503619442	79796	0.708428771817681	741
S288C-unpooled_WT-100ng_2	Promoter	33	1320	0.720917531403605	77140	0.705492857273509	703
S288C-unpooled_WT-100ng_2	Promoter	34	1242	0.71875	74566	0.703831305513342	664
S288C-unpooled_WT-100ng_2	Promoter	35	1171	0.716646266829865	72152	0.702229748800452	628
S288C-unpooled_WT-100ng_2	Promoter	36	1099	0.712710765239948	69632	0.699629246335165	597
S288C-unpooled_WT-100ng_2	Promoter	37	1036	0.708133971291866	67364	0.696751238583825	567
S288C-unpooled_WT-100ng_2	Promoter	38	980	0.706051873198847	65292	0.695276227797419	541
S288C-unpooled_WT-100ng_2	Promoter	39	936	0.704288939051919	63620	0.694041411210263	515
S288C-unpooled_WT-100ng_2	Promoter	40	885	0.699604743083004	61631	0.691162947179545	491
S288C-unpooled_WT-100ng_2	Promoter	41	847	0.699421965317919	60111	0.690851626249856	476
S288C-unpooled_WT-100ng_2	Promoter	42	804	0.699130434782609	58348	0.690435338247997	459
S288C-unpooled_WT-100ng_2	Promoter	43	757	0.697053406998158	56374	0.688991823614964	434
S288C-unpooled_WT-100ng_2	Promoter	44	729	0.693625118934348	55170	0.68691169878978	421
S288C-unpooled_WT-100ng_2	Promoter	45	697	0.689416419386746	53762	0.684378023320943	409
S288C-unpooled_WT-100ng_2	Promoter	46	672	0.688524590163934	52637	0.683766124108546	394
S288C-unpooled_WT-100ng_2	Promoter	47	646	0.686503719447396	51441	0.682503880802961	383
S288C-unpooled_WT-100ng_2	Promoter	48	628	0.685589519650655	50595	0.68191007601488	378
S288C-unpooled_WT-100ng_2	Promoter	49	609	0.692045454545455	49683	0.68558536181487	369
S288C-unpooled_WT-100ng_2	Promoter	50	593	0.694379391100703	48899	0.686841587774251	364
